uid,sentence1,sentence2,label
uit_Adver_365_3_11_02,"Tọa đàm do Tổng cục Du lịch phối hợp với báo điện tử VnExpress tổ chức ngày 3/4 tại FLC Sầm Sơn, Thanh Hóa.","Đầu tháng 4 có một buổi gặp mặt trao đổi, nói chuyện thân mật của Tổng cục Du lịch.",Entailment
uit_Adver_1405_5_11_08,"Bệnh viện Đa khoa tỉnh Bắc Ninh xin hội chẩn 2 trường hợp, trong đó một bệnh nhân 69 tuổi, đang thở máy không xâm nhập nhưng không hiệu quả.","Để giúp các chuyên gia đầu ngành, bệnh viện Đa khoa tỉnh Bắc Ninh đã xin xem xét tình trạng của bệnh nhân 69 tuổi, đang thở máy không xâm nhập nhưng không có tiến triển. ",Entailment
uit_Adver_304_2_11_02,"Bộ trưởng Du lịch, tiến sĩ Abdulla Mausoom xác nhận rằng Maldives đang phát triển chương trình ""du lịch 3V"" (Visit, Vaccine and Vacation), cho phép khách du lịch ""Tham quan, Tiêm phòng và Nghỉ dưỡng"".","3V đại diện cho Visit (Tham quan), Vaccine (Tiêm phòng) và Vacation (Nghỉ dưỡng).",Entailment
uit_Adver_1124_1_11_06,"Nhờ sự chuyển dịch của người dùng lên trực tuyến, Amazon đã có kết quả kinh doanh quý I vượt qua kỳ vọng của Phố Wall.",Amazon có doanh thu 3 tháng đầu năm vượt trội nhờ sự phát triển của dịch vụ trực tuyến.,Entailment
uit_Adver_819_3_11_05,"Lượng neutron ngày tăng hé lộ FCM đang trải qua chuỗi phản ứng phân hạch mới khi neutron và đập và phân chia hạt nhân của nguyên tố uranium, tạo ra năng lượng.",Hỗn hợp các chất phóng xạ đặc sệt gồm uranium sau khi cứng lại sẽ thành vật liệu chứa nhiên liệu.,Entailment
uit_Adver_1374_2_31_07,"Ngày 27/4, Huy cùng ba nghi can khác bị Công an Bình Dương tạm giữ để điều tra hành vi Giết người.",Công an Bình Dương tạm giữ Huy và ba nghi can khác vì hành vi Giết người sáng ngày 27/4.,Extrinsic-Hal
uit_Adver_2011_3_31_11,"Vừa qua các cơ quan chức năng và người dân ở Quảng Ninh đã triển khai nhiều giải pháp hiệu quả phòng, chống dịch.",Quảng Ninh đang thực hiện nhiều biện pháp chống dịch có hiệu quả do có chiến lược từ chủ tịch.,Extrinsic-Hal
uit_Adver_1655_2_21_09,"Ngày 13/5 là hạn cuối cùng để chủ nhân may mắn của giải xổ số trị giá 26 triệu USD tới nhận thưởng, song không ai xuất hiện.",Chủ nhân của giải xổ số trị giá 26 triệu USD phải tới nhận thưởng trước ngày 13/5.,Intrinsic-Hal
uit_Adver_464_4_31_03,"Trước đây, TOEIC chỉ kiểm tra hai kỹ năng của người học là nghe và đọc.",TOEIC chỉ kiểm tra hai kĩ năng của người đọc là do trước đây cơ sở vật chất không cho phép.,Extrinsic-Hal
uit_Adver_331_5_21_02,BBC Global News là kênh truyền thông lớn và uy tín của thế giới với hơn 450 triệu hộ xem tại 200 quốc gia và vùng lãnh thổ.,Kênh BBC Global News xuất hiện tại 200 quốc gia.,Intrinsic-Hal
uit_Adver_658_5_21_04,"Nguyễn Minh Tú sinh năm 1991 tại TP HCM, từng giành giải bạc Siêu mẫu Việt Nam 2013.",Minh Tú nhiều lần giành giải Siêu mẫu Việt Nam.,Intrinsic-Hal
uit_Adver_2059_5_31_11,Các dự án còn lại sẽ đầu tư theo hình thức BOT (xây dựng - kinh doanh - chuyển giao).,Các dự án còn lại sẽ được đầu tư lần lượt theo 3 giai đoạn.,Extrinsic-Hal
uit_Adver_699_2_21_04,"Hôm 3/5, Met Gala công bố host năm nay gồm: vận động viên quần vợt Naomi Osaka, diễn viên Timothée Chalamet, nhà thơ Amanda Gorman và ca sĩ Billie Eilish.",Chủ trì của Met Gala luôn là những nghệ sĩ lớn.,Intrinsic-Hal
uit_Adver_1233_5_21_07,"Kết quả truy vết của công an Hải Dương xác định ""bệnh nhân 3051"" khai báo quanh co khi lực lượng chức năng khai thác thông tin điều tra dịch tễ.","Các thủ tục điều tra rườm rà, làm trí nhớ bệnh nhân có phân không minh mẫn mà trả lời sai lệch.",Extrinsic-Hal
uit_Adver_1_2_11_01,"Theo tài khoản Twitter @Rodent950, người gần đây đưa ra dự đoán chính xác về các thiết bị Android chưa ra mắt, hợp đồng giữa Huawei và Leica đã hết hạn và dòng P50 sẽ là những thiết bị cuối cùng dùng công nghệ ống kính của hãng máy ảnh trứ danh này.",@Rodent950 là tên của một tài khoản trên Twitter.,Entailment
uit_Adver_598_3_31_03,"Trong hai ngày 25-26/5, thí sinh phải làm bốn bài thi, gồm Văn, Toán, Tiếng Anh và môn chuyên, thời gian làm bài lần lượt là 120, 90, 60 và 150 phút.","Bốn bài thi gồm Văn, Toán, Tiếng Anh và môn chuyên đã được kiểm định rõ ràng mới cho thí sinh dự thi làm bài.",Extrinsic-Hal
uit_Adver_1882_3_11_10,Mùa này là lần thứ ba vô địch trong bốn mùa gần nhất của Man City ở Ngoại hạng Anh.,Đã vô địch được 75% trong số bốn mùa gần nhất của Man City ở Ngoại hạng Anh.,Entailment
uit_Adver_1293_3_11_07,"Tối 5/5, tổ công tác Công an thị trấn Hương An kiểm tra hành chính quán karaoke New World, ghi nhận tại hai phòng với 8 thanh niên nghi sử dụng trái phép chất ma túy.",Nơi nguy hiểm nhất là nơi an toàn nhất và ngược lại.,Extrinsic-Hal
uit_Adver_546_1_21_03,Bộ Giáo dục và Đào tạo đồng ý cho Học viện Múa Việt Nam cấp bằng tốt nghiệp trung cấp chuyên nghiệp cho 273 học viên.,Bộ Giáo dục và Đào tạo từ chối cấp bằng tốt nghiệp trung cấp chuyên nghiệp cho Học viện Múa Việt Nam,Intrinsic-Hal
uit_Adver_380_2_31_02,"Chúng tôi định đi 5 ngày 4 đêm, đến tham quan Đà Nẵng là chính, sau đó dự kiến đi chơi thêm các địa điểm xung quanh.",Chúng tôi rất thích đi du lịch tại Đà Nẵng.,Extrinsic-Hal
uit_Adver_141_1_21_01,"iPhone 13 được cho là sẽ có màu mới, cùng lớp vỏ có thể giảm tình trạng bám vân tay và camera được thiết kế lại.",Apple sẽ ngưng sản xuất smartphone kể từ sau dòng iPhone 12.,Intrinsic-Hal
uit_Adver_425_3_21_03,"Ở một số nơi, học sinh các cấp được nghỉ nhưng UBND tỉnh, thành phố vẫn cho phép học sinh cuối cấp như lớp 9, 12 học tập trung để ôn thi vào lớp 10, thi tốt nghiệp THPT, đảm bảo điều kiện phòng chống dịch.",Các học sinh cuối cấp sẽ vẫn phải đến trường ôn tập bình thường để đảm bảo đủ kiến thức cho các em thi chuyển cấp.,Intrinsic-Hal
uit_Adver_737_3_31_04,"Kom Chauncheun qua đời là tổn thất lớn với làng nghệ thuật, tên diễn viên cùng một số vai diễn nổi bật của ông vào top xu hướng trên Twitter.",Những vai diễn của ông luôn ẩn chứa nhiều bài học sâu sắc thông qua tiếng cười.,Extrinsic-Hal
